post_url,post_date,post_type,post_text,total_likes,total_comments,total_shares,total_views,comments_scraped,scraped_at
https://www.facebook.com/photo.php?fbid=933465922880320,14/10/2024,photo,,3,0,2,0,6,2026-04-21 20:54:27
https://www.facebook.com/photo.php?fbid=931261866434059,17/10/2024,photo,,5,3,2,0,2,2026-04-21 20:54:42
https://www.facebook.com/photo.php?fbid=935153129378266,29/10/2024,photo,,2,0,0,0,0,2026-04-21 20:54:56
https://www.facebook.com/photo.php?fbid=935094706050775,05/11/2024,photo,,0,0,0,0,0,2026-04-21 20:55:08
https://www.facebook.com/photo.php?fbid=932125633014349,18/11/2024,photo,,4,1,2,0,1,2026-04-21 20:55:22
https://www.facebook.com/photo.php?fbid=929078996652346,23/11/2024,photo,,14,4,6,0,5,2026-04-21 20:55:37
https://www.facebook.com/photo.php?fbid=935094679384111,25/11/2024,photo,,0,0,0,0,0,2026-04-21 20:55:51
https://www.facebook.com/photo.php?fbid=921850577375188,10/12/2024,photo,,4,0,4,0,0,2026-04-21 20:56:04
https://www.facebook.com/photo.php?fbid=935153096044936,17/12/2024,photo,,3,0,0,0,0,2026-04-21 20:56:18
https://www.facebook.com/photo.php?fbid=932130573013855,19/12/2024,photo,,1,0,0,0,0,2026-04-21 20:56:34
https://www.facebook.com/photo.php?fbid=935152986044947,23/12/2024,photo,,6,0,0,0,0,2026-04-21 20:56:47
https://www.facebook.com/photo.php?fbid=936752612551651,23/12/2024,photo,,2,2,8,0,3,2026-04-21 20:57:01
https://www.facebook.com/photo.php?fbid=919786620914917,25/12/2024,photo,,6,0,2,0,0,2026-04-21 20:57:15
https://www.facebook.com/photo.php?fbid=935153062711606,15/01/2025,photo,,3,0,0,0,0,2026-04-21 20:57:28
https://www.facebook.com/photo.php?fbid=932130543013858,21/01/2025,photo,,3,0,0,0,0,2026-04-21 20:57:43
https://www.facebook.com/photo.php?fbid=935153012711611,27/01/2025,photo,,5,0,0,0,0,2026-04-21 20:57:58
https://www.facebook.com/photo.php?fbid=933545752872337,28/01/2025,photo,,0,0,0,0,0,2026-04-21 20:58:12
https://www.facebook.com/photo.php?fbid=918382761055303,03/02/2025,photo,,2,0,1,0,0,2026-04-21 20:58:28
https://www.facebook.com/photo.php?fbid=935094769384102,05/02/2025,photo,,0,0,0,0,0,2026-04-21 20:58:44
https://www.facebook.com/photo.php?fbid=925142517045994,05/02/2025,photo,,0,0,0,0,0,2026-04-21 20:58:57
https://www.facebook.com/photo.php?fbid=916645287895717,07/02/2025,photo,,5,43,8,0,6,2026-04-21 20:59:26
https://www.facebook.com/photo.php?fbid=913520254874887,09/02/2025,photo,,3,1,2,0,6,2026-04-21 20:59:41
https://www.facebook.com/photo.php?fbid=914207971472782,10/02/2025,photo,,30,37,4,0,7,2026-04-21 21:00:11
https://www.facebook.com/photo.php?fbid=917506797809566,15/02/2025,photo,,12,0,4,0,6,2026-04-21 21:00:25
https://www.facebook.com/photo.php?fbid=918032421090337,19/02/2025,photo,,0,0,0,0,0,2026-04-21 21:00:42
https://www.facebook.com/photo.php?fbid=918032504423662,24/02/2025,photo,,0,0,0,0,3,2026-04-21 21:00:56
https://www.facebook.com/photo.php?fbid=918032374423675,03/03/2025,photo,,0,0,0,0,0,2026-04-21 21:01:10
https://www.facebook.com/photo.php?fbid=916343954592517,08/03/2025,photo,,3,5,2,0,6,2026-04-21 21:01:23
https://www.facebook.com/photo.php?fbid=918082124418700,17/03/2025,photo,,4,0,2,0,3,2026-04-21 21:01:38
https://www.facebook.com/photo.php?fbid=911051891788390,25/03/2025,photo,,6,2,2,0,1,2026-04-21 21:01:53
https://www.facebook.com/photo.php?fbid=917008601192719,13/04/2025,photo,,5,1,2,0,7,2026-04-21 21:02:06
https://www.facebook.com/photo.php?fbid=910969011796678,14/04/2025,photo,,11,0,4,0,1,2026-04-21 21:02:20
https://www.facebook.com/photo.php?fbid=917125031181076,17/04/2025,photo,,1,1,1,0,8,2026-04-21 21:02:33
https://www.facebook.com/photo.php?fbid=918064974420415,18/04/2025,photo,,2,4,2,0,3,2026-04-21 21:02:48
https://www.facebook.com/photo.php?fbid=917220277838218,20/04/2025,photo,,52,88,364,0,1,2026-04-21 21:03:18
https://www.facebook.com/photo.php?fbid=913278624899050,20/04/2025,photo,,3,1,2,0,2,2026-04-21 21:03:34
https://www.facebook.com/photo.php?fbid=918032291090350,25/04/2025,photo,,0,0,0,0,0,2026-04-21 21:03:48
https://www.facebook.com/photo.php?fbid=911629228397323,30/04/2025,photo,,3,0,1,0,2,2026-04-21 21:04:03
https://www.facebook.com/photo.php?fbid=912556024971310,03/05/2025,photo,,2,2,4,0,1,2026-04-21 21:04:18
https://www.facebook.com/photo.php?fbid=910815881811991,04/05/2025,photo,,1,0,1,0,0,2026-04-21 21:04:33
https://www.facebook.com/photo.php?fbid=915767574650155,05/05/2025,photo,,27,4,0,0,6,2026-04-21 21:04:48
https://www.facebook.com/photo.php?fbid=912392878320958,13/05/2025,photo,,17,2,5,0,1,2026-04-21 21:05:02
https://www.facebook.com/photo.php?fbid=916099824616930,18/05/2025,photo,,2,0,1,0,11,2026-04-21 21:05:17
https://www.facebook.com/photo.php?fbid=918032457757000,20/05/2025,photo,,0,0,0,0,0,2026-04-21 21:05:33
https://www.facebook.com/LaPolemicaDelHuila/videos/-joven-se-hizo-viral-al-lograr-graduarse-como-profesor-como-sorpresa-sus-compa%C3%B1e/4280323948855456,21/05/2025,video,,23,1,0,980,1,2026-04-21 21:05:50
https://www.facebook.com/LaPolemicaDelHuila/videos/lamentable-una-adulta-mayor-perdi%C3%B3-la-vida-luego-de-ser-impactada-por-una-llanta/2782224505475664,27/05/2025,video,,27,0,0,8276,0,2026-04-21 21:06:09
https://www.facebook.com/100086507620125/videos/2782224505475664,31/05/2025,video,,44,0,0,7941,0,2026-04-21 21:06:27
https://www.facebook.com/LaPolemicaDelHuila/videos/atencio%C3%B3n-la-ese-manuel-castro-tovar-invita-a-todas-las-mujeres-entre-15-y-49-a%C3%B1/969590312260146,31/05/2025,video,,49,0,0,392,0,2026-04-21 21:06:45
https://www.facebook.com/LaPolemicaDelHuila/videos/lamentable-pitalito-un-basurer%C3%B8-a-cielo-abierto-as%C3%AD-se-han-observado-las-zonas-r/958504636897286,02/06/2025,video,,3,12,0,0,2,2026-04-21 21:07:17
https://www.facebook.com/LaPolemicaDelHuila/videos/-pasajeros-de-un-vuelo-comercial-fueron-testigos-de-un-impresionante-espect%C3%A1culo/1645866736751766,06/06/2025,video,,32,0,0,1346,0,2026-04-21 21:07:35
https://www.facebook.com/LaPolemicaDelHuila/videos/-sabes-reconocer-las-se%C3%B1ales-del-consumo-de-spa-identificar-a-tiempo-puede-marca/2447370252394786,08/06/2025,video,,51,0,0,250,0,2026-04-21 21:07:54
https://www.facebook.com/LaPolemicaDelHuila/videos/atenci%C3%B3n-totalmente-inundado-este-es-el-panorama-tras-las-fuertes-lluvias-en-el-/1467051358464372,18/06/2025,video,,50,0,0,605,0,2026-04-21 21:08:11
https://www.facebook.com/elhuiladigital/videos/-el-ex-candidato-presidencial-camilo-romero-llega-a-pitalito-acompa%C3%B1ando-la-visi/1305328018114724,14/07/2025,video,,3,3,0,0,2,2026-04-21 21:08:29
https://www.facebook.com/LaPolemicaDelHuila/videos/-m%C3%A1s-de-10-mil-millones-gestionados-por-la-ese-manuel-castro-tovar-resultados-pa/1260649069474027,23/07/2025,video,,47,0,0,110,0,2026-04-21 21:08:47
https://www.facebook.com/LaPolemicaDelHuila/videos/impactante-se-salv%C3%B3-por-cent%C3%ADmetros-una-falla-de-seguridad-en-una-obra-de-la-aut/1716922546382276,28/07/2025,video,,42,0,0,951,0,2026-04-21 21:09:04
https://www.facebook.com/LaPolemicaDelHuila/videos/lamentable-valiente-mujer-se-enfrent%C3%B3-a-delincuent%C4%99s-para-salvar-a-su-pareja-del/1441476410689472,29/07/2025,video,,39,0,0,2481,0,2026-04-21 21:09:23
https://www.facebook.com/LaPolemicaDelHuila/videos/atenci%C3%B3n-neiva-amanece-inundada-de-desechos-el-centro-de-la-ciudad-se-convirti%C3%B3-/1937468360308714,30/07/2025,video,,30,1,0,0,1,2026-04-21 21:09:41
https://www.facebook.com/LaPolemicaDelHuila/videos/viral-conmovedora-despedida-joven-llora-la-muert%C4%99-de-su-perro-luego-de-15-a%C3%B1os-d/1846811156022181,01/08/2025,video,,3,5,0,0,2,2026-04-21 21:10:12
https://www.facebook.com/LaPolemicaDelHuila/videos/-qu%C3%A9-tal-esto-delincuent%C4%99-enga%C3%B1%C3%B3-a-comerciante-pidi%C3%A9ndole-un-vaso-de-agua-para-r/935229112453089,02/08/2025,video,,6,5,0,0,2,2026-04-21 21:10:45
https://www.facebook.com/LaPolemicaDelHuila/videos/aestahora-llueve-fuertemente-en-pitalito-se-reportan-inundaciones-en-los-barrios/1953170139417807,03/08/2025,video,,34,0,0,2366,0,2026-04-21 21:11:03
https://www.facebook.com/LaPolemicaDelHuila/videos/1860736437948674,10/08/2025,video,,28,0,0,2874,0,2026-04-21 21:11:20
https://www.facebook.com/LaPolemicaDelHuila/videos/triste-la-lista-del-dolor-los-nombres-que-hoy-duelen-en-colombia-tras-la-emergen/2122628555242156,29/08/2025,video,,35,1,0,0,1,2026-04-21 21:11:39
https://www.facebook.com/LaPolemicaDelHuila/videos/%C3%BAltima-hora-juan-daniel-oviedo-ser%C3%A1-la-f%C3%B3rmula-vicepresidencial-de-paloma-valenc/1480559127003809,06/09/2025,video,,33,3,0,0,2,2026-04-21 21:11:56
https://www.facebook.com/LaPolemicaDelHuila/videos/elecciones-denuncian-presunto-hecho-de-corr%C3%BCpci%C3%B3n-electoral-a-favor-del-candidat/1090768609906953,18/09/2025,video,,55,5,0,0,2,2026-04-21 21:12:31
https://www.facebook.com/LaPolemicaDelHuila/videos/lamentable-un-llamado-de-atenci%C3%B3n-termin%C3%B3-en-un-fuerte-altercado-una-infracci%C3%B3n-/1953075328629268,20/09/2025,video,,2,12,0,0,2,2026-04-21 21:13:05
https://www.facebook.com/LaPolemicaDelHuila/videos/conmovedor-soldado-detuvo-su-rutina-para-celebrar-el-cumplea%C3%B1os-n%C3%BAmero-4-de-lenn/1508037657645568,18/10/2025,video,,16,0,0,372,0,2026-04-21 21:13:24
https://www.facebook.com/LaPolemicaDelHuila/videos/atenci%C3%B3n-la-ese-manuel-castro-tovar-te-invita-a-participar-en-nuestra-jornada-es/937356852605463,22/10/2025,video,,35,0,0,3071,0,2026-04-21 21:13:44
https://www.facebook.com/LaPolemicaDelHuila/videos/preocupante-se%C3%B1ora-sacude-del-cuello-al-alcalde-de-pamplona-klaus-faber-en-multi/3112733052448347,23/10/2025,video,,23,0,0,2137,1,2026-04-21 21:14:02
https://www.facebook.com/LaPolemicaDelHuila/videos/qu%C3%A9talesto-un-accidente-de-tr%C3%A1nsito-se-registr%C3%B3-en-el-centro-de-pitalito-al-pare/2224983888308090,06/11/2025,video,,30,0,0,2630,0,2026-04-21 21:14:20
https://www.facebook.com/LaPolemicaDelHuila/videos/viral-mujer-enfrent%C3%B3-a-un-crimin%C4%85l-que-la-enca%C3%B1%C3%B8n%C3%B3-con-una-pist%C3%B8la-en-un-acto-de/2174056283402372,08/11/2025,video,,45,0,0,686,0,2026-04-21 21:14:39
https://www.facebook.com/LaPolemicaDelHuila/videos/ay%C3%BAdanos-a-encontrarla-una-familia-en-pitalito-vive-momentos-de-angustia-tras-la/953559600349783,19/11/2025,video,,44,0,0,150,0,2026-04-21 21:14:56
https://www.facebook.com/LaPolemicaDelHuila/videos/atenci%C3%B3n-del-16-al-20-de-marzo-la-ese-manuel-castro-tovar-realizar%C3%A1-la-jornada-d/1856769034995817,26/11/2025,video,,28,0,0,1362,0,2026-04-21 21:15:14
https://www.facebook.com/LaPolemicaDelHuila/videos/indignante-una-pareja-habr%C3%ADa-lanzado-desde-el-balc%C3%B3n-de-un-s%C3%A9ptimo-piso-a-su-per/2095507587672647,28/11/2025,video,,37,2,0,0,0,2026-04-21 21:15:36
https://www.facebook.com/LaPolemicaDelHuila/videos/l102-franky-vega-le-cumpli%C3%B3-a-los-animales-es-el-primer-concejal-en-presentar-un/936882499029005,01/12/2025,video,,4,4,0,0,2,2026-04-21 21:16:08
https://www.facebook.com/LaPolemicaDelHuila/videos/pitalito-es-referente-nacional-en-salud-los-trabajadores-de-los-equipos-b%C3%A1sicos-/879802364884068,14/12/2025,video,,7,0,0,335,0,2026-04-21 21:16:26
https://www.facebook.com/LaPolemicaDelHuila/videos/pol%C3%A9mica-los-mismos-pol%C3%ADticos-y-los-mismos-%C3%B3rganos-de-control-terminan-callados-/26026761806990292,15/12/2025,video,,1,7,0,0,2,2026-04-21 21:17:00
https://www.facebook.com/LaPolemicaDelHuila/videos/ins%C3%B3lito-en-un-intento-de-sicariat%C3%B8-la-v%C3%ADctima-logr%C3%B3-someter-al-delincuent%C4%99-un-p/1293682549240141,16/12/2025,video,,47,1,0,1684,1,2026-04-21 21:17:17
https://www.facebook.com/LaPolemicaDelHuila/videos/atenci%C3%B3n-cay%C3%B3-alias-la-yesi-acusada-de-administrar-un-punto-de-expendio-de-estup/26103527499266289,17/12/2025,video,,55,0,0,401,0,2026-04-21 21:17:35
https://www.facebook.com/LaPolemicaDelHuila/videos/l102-este-8-de-marzo-no-olvide-qui%C3%A9n-privatiz%C3%B3-el-servicio-de-aseo-en-pitalito-p/1934030593875613,03/01/2026,video,,4,10,0,0,2,2026-04-21 21:18:09
